date,symbol,close_price
03/15/2023,BTC,"24,282.70"
03/14/2023,BTC,"24,699.70"
03/13/2023,BTC,"24,114.40"
3/12/2023,BTC,"21,994.80"
3/11/2023,BTC,"20,467.50"
3/10/2023,BTC,"20,156.70"
3/9/2023,BTC,"20,361.80"
3/8/2023,BTC,"21,710.80"
3/7/2023,BTC,"22,197.80"
3/6/2023,BTC,"22,410.00"
3/5/2023,BTC,"22,428.30"
3/4/2023,BTC,"22,347.10"
3/3/2023,BTC,"22,354.40"
3/2/2023,BTC,"23,465.40"
3/1/2023,BTC,"23,642.20"
02/28/2023,BTC,"23,130.50"
02/27/2023,BTC,"23,494.10"
02/26/2023,BTC,"23,558.70"
02/25/2023,BTC,"23,166.10"
02/24/2023,BTC,"23,191.50"
02/23/2023,BTC,"23,936.30"
02/22/2023,BTC,"24,186.60"
02/21/2023,BTC,"24,450.70"
02/20/2023,BTC,"24,839.50"
02/19/2023,BTC,"24,302.90"
02/18/2023,BTC,"24,631.40"
02/17/2023,BTC,"24,573.50"
02/16/2023,BTC,"23,539.60"
02/15/2023,BTC,"24,327.90"
02/14/2023,BTC,"22,198.50"
02/13/2023,BTC,"21,772.60"
2/12/2023,BTC,"21,786.80"
2/11/2023,BTC,"21,859.80"
2/10/2023,BTC,"21,635.00"
2/9/2023,BTC,"21,792.50"
2/8/2023,BTC,"22,964.60"
2/7/2023,BTC,"23,251.70"
2/6/2023,BTC,"22,761.80"
2/5/2023,BTC,"22,936.00"
2/4/2023,BTC,"23,323.80"
2/3/2023,BTC,"23,431.20"
2/2/2023,BTC,"23,427.60"
2/1/2023,BTC,"23,725.60"
01/31/2023,BTC,"23,125.10"
01/30/2023,BTC,"22,832.20"
01/29/2023,BTC,"23,753.10"
01/28/2023,BTC,"23,027.90"
01/27/2023,BTC,"23,074.60"
01/26/2023,BTC,"23,016.00"
01/25/2023,BTC,"23,055.10"
01/24/2023,BTC,"22,632.50"
01/23/2023,BTC,"22,915.50"
01/22/2023,BTC,"22,707.80"
01/21/2023,BTC,"22,775.70"
01/20/2023,BTC,"22,677.20"
01/19/2023,BTC,"21,081.20"
01/18/2023,BTC,"20,670.60"
01/17/2023,BTC,"21,137.10"
01/16/2023,BTC,"21,184.20"
01/15/2023,BTC,"20,879.80"
01/14/2023,BTC,"20,958.20"
01/13/2023,BTC,"19,927.00"
1/12/2023,BTC,"18,851.30"
1/11/2023,BTC,"17,942.30"
1/10/2023,BTC,"17,439.10"
1/9/2023,BTC,"17,180.10"
1/8/2023,BTC,"17,119.00"
1/7/2023,BTC,"16,943.60"
1/6/2023,BTC,"16,950.90"
1/5/2023,BTC,"16,829.80"
1/4/2023,BTC,"16,852.10"
1/3/2023,BTC,"16,674.20"
1/2/2023,BTC,"16,674.30"
1/1/2023,BTC,"16,618.40"
12/31/2022,BTC,"16,537.40"
12/30/2022,BTC,"16,607.20"
